Estado,Total,Reason
Mexico City,153173,2
State of Mexico,58795,1
Puebla,1389,1
Hidalgo,1211,1
Morelos,850,1
Jalisco,634,1
Queretaro,608,1
Veracruz,525,1
Michoacan,510,1
Guanajuato,452,1
Oaxaca,380,2
Tlaxcala,353,1
Guerrero,294,1
San Luis Potosi,189,1
Aguascalientes,141,1
Nuevo Leon,135,1
Quintana Roo,135,1
Zacatecas,97,1
Chiapas,74,1
Baja California,67,1
Chihuahua,66,1
Extranjeros,60,1
Tabasco,58,1
Tamaulipas,58,1
Nayarit,55,1
Coahuila,47,1
Durango,43,1
Sonora,43,1
Yucatan,42,1
Baja California Sur,38,1
Sinaloa,36,1
Colima,34,1
Unspecified,24,1
Campeche,16,1